timestamp,avg_tegangan,avg_arus,avg_daya,max_daya,energi_kwh,avg_frekuensi,avg_pf
2025-01-31 17:00:00,219.84,1.6317,358.71,527.48,0.089678,49.95,0.824
2025-01-31 17:15:00,227.94,1.6731,381.37,570.06,0.095343,50.14,0.900
2025-01-31 17:30:00,218.45,1.8494,404.01,844.04,0.101002,49.86,0.972
2025-01-31 17:45:00,219.40,1.9912,436.85,922.45,0.109214,50.02,0.861
2025-01-31 18:00:00,226.21,1.7529,396.53,815.74,0.099132,49.99,0.830
2025-01-31 18:15:00,226.38,1.3246,299.86,548.69,0.074964,50.07,0.881
2025-01-31 18:30:00,225.05,1.5952,358.99,702.59,0.089748,50.20,0.892
2025-01-31 18:45:00,218.83,1.4065,307.78,478.07,0.076946,50.11,0.915
2025-01-31 19:00:00,220.36,1.6097,354.70,607.08,0.088676,49.81,0.864
2025-01-31 19:15:00,219.52,1.4067,308.81,650.45,0.077203,50.15,0.913
2025-01-31 19:30:00,227.79,1.3568,309.08,510.43,0.077269,49.84,0.967
2025-01-31 19:45:00,220.72,1.6075,354.81,619.63,0.088702,49.85,0.901
2025-01-31 20:00:00,224.83,1.2796,287.69,458.82,0.071924,50.00,0.854
2025-01-31 20:15:00,226.08,1.3200,298.41,583.52,0.074603,50.08,0.954
2025-01-31 20:30:00,223.17,1.4133,315.41,480.22,0.078852,50.06,0.978
2025-01-31 20:45:00,217.98,1.4579,317.78,634.81,0.079445,49.83,0.952
2025-01-31 21:00:00,221.56,1.8066,400.27,816.45,0.100067,49.91,0.898
2025-01-31 21:15:00,220.82,1.7471,385.80,822.15,0.096450,50.01,0.862
2025-01-31 21:30:00,221.35,1.5356,339.91,479.25,0.084976,49.99,0.861
2025-01-31 21:45:00,223.84,1.6075,359.82,705.45,0.089954,49.89,0.881
2025-01-31 22:00:00,227.17,1.9324,438.97,943.26,0.109743,50.18,0.911
2025-01-31 22:15:00,223.18,2.2733,507.35,720.59,0.126839,50.00,0.972
2025-01-31 22:30:00,220.74,2.3321,514.79,1012.12,0.128697,50.03,0.930
2025-01-31 22:45:00,225.55,1.7256,389.21,650.53,0.097302,50.19,0.826
2025-01-31 23:00:00,224.51,4.6121,1035.49,1700.88,0.258872,49.99,0.861
2025-01-31 23:15:00,226.99,8.1916,1859.43,3635.60,0.464858,50.10,0.906
2025-01-31 23:30:00,225.74,5.1533,1163.31,2543.28,0.290828,49.82,0.907
2025-01-31 23:45:00,217.75,4.8114,1047.69,1675.91,0.261923,50.18,0.892
2025-02-01 00:00:00,217.82,5.2656,1146.95,2133.60,0.286738,49.96,0.914
2025-02-01 00:15:00,220.19,4.7460,1045.04,1580.54,0.261260,49.91,0.910
2025-02-01 00:30:00,223.79,5.2498,1174.84,2560.97,0.293710,49.94,0.932
2025-02-01 00:45:00,223.33,5.0183,1120.72,2389.84,0.280181,50.06,0.940
2025-02-01 01:00:00,219.95,4.4352,975.52,1582.29,0.243881,49.84,0.875
2025-02-01 01:15:00,226.19,4.1261,933.28,1887.74,0.233320,49.92,0.931
2025-02-01 01:30:00,222.99,4.1660,928.99,1563.83,0.232248,50.10,0.930
2025-02-01 01:45:00,225.85,3.9202,885.40,1808.18,0.221349,50.15,0.846
2025-02-01 02:00:00,217.59,2.7126,590.23,1070.17,0.147557,49.97,0.828
2025-02-01 02:15:00,227.73,2.7735,631.59,999.20,0.157898,50.07,0.917
2025-02-01 02:30:00,227.25,2.2408,509.22,916.48,0.127305,49.86,0.845
2025-02-01 02:45:00,218.75,2.8781,629.59,1368.84,0.157397,49.89,0.946
2025-02-01 03:00:00,218.46,2.6060,569.30,1194.92,0.142325,50.07,0.969
2025-02-01 03:15:00,225.50,2.3557,531.21,988.51,0.132803,50.10,0.891
2025-02-01 03:30:00,223.75,2.4853,556.09,884.47,0.139021,49.90,0.845
2025-02-01 03:45:00,224.69,2.2287,500.76,756.72,0.125191,49.89,0.857
2025-02-01 04:00:00,221.70,2.2757,504.52,1035.38,0.126130,49.97,0.840
2025-02-01 04:15:00,222.21,2.2812,506.91,1050.73,0.126728,50.04,0.878
2025-02-01 04:30:00,227.59,2.6936,613.04,1003.24,0.153260,50.11,0.828
2025-02-01 04:45:00,220.95,2.8858,637.61,986.45,0.159403,50.17,0.949
2025-02-01 05:00:00,222.09,3.1164,692.11,996.32,0.173028,50.16,0.827
2025-02-01 05:15:00,220.41,3.3601,740.60,1091.04,0.185149,49.90,0.958
2025-02-01 05:30:00,219.39,3.3787,741.25,1073.91,0.185312,49.90,0.938
2025-02-01 05:45:00,225.48,2.8040,632.23,1081.58,0.158059,49.98,0.902
2025-02-01 06:00:00,227.93,4.6295,1055.21,1934.21,0.263803,49.89,0.881
2025-02-01 06:15:00,227.25,3.1236,709.85,1325.51,0.177462,50.18,0.926
